,,header_playing,header_performance,header_expected,header_progression,header_per90,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90
Pedro Porro,27.4,DF,25-232,31,26,"2,463",2,6,8,2,0,0,4,0,1.5,1.5,4.0,5.5,63,147,106,0.07,0.22,0.29,0.07,0.29,0.06,0.15,0.20,0.06,0.20,Matches
Dejan Kulusevski,25.3,"MF,FW",25-008,30,25,"2,281",7,4,11,7,0,0,3,0,4.2,4.2,6.1,10.3,118,122,207,0.28,0.16,0.43,0.28,0.43,0.17,0.24,0.41,0.17,0.41,Matches
Dominic Solanke,23.5,FW,27-231,25,24,"2,119",8,3,11,8,0,0,0,0,10.1,10.1,2.9,13.1,29,45,88,0.34,0.13,0.47,0.34,0.47,0.43,0.13,0.56,0.43,0.56,Matches
Brennan Johnson,23.1,FW,23-345,31,23,"2,083",11,3,14,11,0,0,5,0,9.8,9.8,2.3,12.1,57,70,194,0.48,0.13,0.60,0.48,0.60,0.43,0.10,0.52,0.43,0.52,Matches
Son Heung-min,22.3,FW,32-299,28,23,"2,004",7,9,16,6,1,2,1,0,7.0,5.4,8.2,13.7,87,104,259,0.31,0.40,0.72,0.27,0.67,0.31,0.37,0.68,0.24,0.61,Matches
Destiny Udogie,20.4,DF,22-156,24,23,"1,834",0,1,1,0,0,0,2,0,0.3,0.3,1.5,1.8,54,120,93,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.09,0.01,0.09,Matches
Guglielmo Vicario,22.0,GK,28-208,22,22,"1,980",0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
James Maddison,20.1,MF,28-161,31,21,"1,809",9,7,16,9,0,0,6,0,5.8,5.8,4.2,10.0,45,164,95,0.45,0.35,0.80,0.45,0.80,0.29,0.21,0.50,0.29,0.50,Matches
Rodrigo Bentancur,16.9,MF,27-312,23,19,"1,518",2,0,2,2,0,0,7,0,1.3,1.3,0.4,1.7,26,99,34,0.12,0.00,0.12,0.12,0.12,0.08,0.03,0.10,0.08,0.10,Matches
Pape Matar Sarr,18.2,MF,22-231,32,18,"1,636",3,2,5,3,0,0,6,0,3.3,3.3,1.5,4.8,29,79,50,0.17,0.11,0.28,0.17,0.28,0.18,0.08,0.27,0.18,0.27,Matches
